status	portal	country	company	title	location	posted	source	url
new	LinkedIn	Uruguay	++hellohello	Sr. Project Manager	Montevideo, Uruguay	2026-06-08	IT Manager	https://uy.linkedin.com/jobs/view/sr-project-manager-at-%2B%2Bhellohello-4425620617
new	LinkedIn	Argentina	A Hiring Group	Rebate Program Project Manager	Argentina	2026-05-22	Technical Project Manager	https://ar.linkedin.com/jobs/view/rebate-program-project-manager-at-a-hiring-group-4414352248
new	LinkedIn	Argentina	Accenture Argentina	Project Manager	Greater Buenos Aires	2026-06-03	Project Manager IT	https://ar.linkedin.com/jobs/view/project-manager-at-accenture-argentina-4414793805
new	LinkedIn	Chile	ACL	Líder Técnico de Infraestructura TI	Santiago, Santiago Metropolitan Region, Chile	2026-06-09	Jefe de Infraestructura	https://cl.linkedin.com/jobs/view/l%C3%ADder-t%C3%A9cnico-de-infraestructura-ti-at-acl-4422732298
new	LinkedIn	Argentina	Acsys	DevOps Engineer	Argentina	2026-06-08	DevOps	https://ar.linkedin.com/jobs/view/devops-engineer-at-acsys-4421986141
new	LinkedIn	Argentina	AgileEngine	Application Security Engineer	Argentina	2026-06-10	Security Engineer	https://ar.linkedin.com/jobs/view/application-security-engineer-at-agileengine-4426151406
new	LinkedIn	Argentina	AgileEngine	Senior Project Manager ID69238	Mendoza, Mendoza, Argentina	2026-06-10	Gerente de Sistemas	https://ar.linkedin.com/jobs/view/senior-project-manager-id69238-at-agileengine-4426619528
new	LinkedIn	Argentina	AgileEngine	Senior Project Manager ID69238	San Carlos de Bariloche, Río Negro Province, Argentina	2026-06-10	Gerente de Sistemas	https://ar.linkedin.com/jobs/view/senior-project-manager-id69238-at-agileengine-4426613543
new	LinkedIn	Argentina	AgileEngine	Senior Project Manager ID69238	Rosario, Santa Fe, Argentina	2026-06-10	Gerente de Sistemas	https://ar.linkedin.com/jobs/view/senior-project-manager-id69238-at-agileengine-4426605820
new	LinkedIn	Argentina	AgileEngine	Senior Project Manager ID69238	Buenos Aires, Buenos Aires Province, Argentina	2026-06-10	Gerente de Sistemas	https://ar.linkedin.com/jobs/view/senior-project-manager-id69238-at-agileengine-4426626323
new	LinkedIn	Argentina	AgileEngine	Senior Project Manager ID69238	Cordoba, Córdoba, Argentina	2026-06-10	Gerente de Sistemas	https://ar.linkedin.com/jobs/view/senior-project-manager-id69238-at-agileengine-4426604788
new	LinkedIn	Argentina	AgileEngine	Senior Project Manager ID69238	Mar del Plata, Buenos Aires Province, Argentina	2026-06-10	Gerente de Sistemas	https://ar.linkedin.com/jobs/view/senior-project-manager-id69238-at-agileengine-4426617465
new	LinkedIn	Argentina	AgileEngine	Senior Project Manager ID69238	San Miguel de Tucumán, Tucumán, Argentina	2026-06-10	Project Manager IT	https://ar.linkedin.com/jobs/view/senior-project-manager-id69238-at-agileengine-4426608581
new	LinkedIn	Argentina	AgileEngine	Senior Project Manager ID69238	Santiago del Estero, Santiago del Estero, Argentina	2026-06-10	Project Manager IT	https://ar.linkedin.com/jobs/view/senior-project-manager-id69238-at-agileengine-4426611597
new	LinkedIn	Argentina	AgilityIO	Platform Engineer / Solutions Architect	Argentina	2026-06-08	Platform Engineer	https://ar.linkedin.com/jobs/view/platform-engineer-solutions-architect-at-agilityio-4421998525
new	LinkedIn	Uruguay	Akua	Cybersecurity Engineer	Uruguay	2026-06-10	Security Engineer	https://uy.linkedin.com/jobs/view/cybersecurity-engineer-at-akua-4426138345
new	LinkedIn	Chile	Amaris Consulting	DevOps Engineer	Santiago, Santiago Metropolitan Region, Chile	2026-06-03	DevOps	https://cl.linkedin.com/jobs/view/devops-engineer-at-amaris-consulting-4420130848
new	LinkedIn	Chile	Amazon Web Services (AWS)	Solutions Architect, AWS	Providencia, Santiago Metropolitan Region, Chile	2026-06-03	AWS Cloud Engineer	https://cl.linkedin.com/jobs/view/solutions-architect-aws-at-amazon-web-services-aws-4422928348
new	LinkedIn	Chile	Amazon Web Services (AWS)	Solutions Architect, AWS	Providencia, Santiago Metropolitan Region, Chile	2026-06-02	AWS Cloud Engineer	https://cl.linkedin.com/jobs/view/solutions-architect-aws-at-amazon-web-services-aws-4422387203
new	LinkedIn	Chile	Amazon Web Services (AWS)	Solutions Architect, AWS	Providencia, Santiago Metropolitan Region, Chile	2026-06-11	AWS Cloud Engineer	https://cl.linkedin.com/jobs/view/solutions-architect-aws-at-amazon-web-services-aws-4398506711
new	LinkedIn	Chile	Apply Digital	Sr Project Manager	Chile	2026-06-02	Gerente de Sistemas	https://cl.linkedin.com/jobs/view/sr-project-manager-at-apply-digital-4422484890
new	LinkedIn	Chile	Apply Digital	Sr Project Manager	Santiago, Santiago Metropolitan Region, Chile	2026-06-02	Gerente de Sistemas	https://cl.linkedin.com/jobs/view/sr-project-manager-at-apply-digital-4422600811
new	LinkedIn	Chile	Aquabyte	DevOps Engineer	Puerto Varas, Los Lagos Region, Chile	2025-11-25	DevOps	https://cl.linkedin.com/jobs/view/devops-engineer-at-aquabyte-4339102783
new	LinkedIn	Argentina	AspenView Technology Partners	Mid-Level Security Engineer	Argentina	2026-06-10	Security Engineer	https://ar.linkedin.com/jobs/view/mid-level-security-engineer-at-aspenview-technology-partners-4415981912
new	LinkedIn	Chile	ATCOM Chile	Jefe Infraestructura Vial y Ferroviario - Concepción	Concepcion, Biobío Region, Chile	2025-09-23	Jefe de Infraestructura	https://cl.linkedin.com/jobs/view/jefe-infraestructura-vial-y-ferroviario-concepci%C3%B3n-at-atcom-chile-4304068539
new	LinkedIn	Argentina	Athyna	Digital Project Manager	Argentina	2026-06-08	Project Manager IT	https://ar.linkedin.com/jobs/view/digital-project-manager-at-athyna-4425529158
new	LinkedIn	Chile	Atomic - Remote Jobs	Senior Software Engineer — Storage Platform 🖥️⚙️ REMOTE	Santiago, Santiago Metropolitan Region, Chile	2026-05-21	Cloud Engineer	https://cl.linkedin.com/jobs/view/senior-software-engineer-%E2%80%94-storage-platform-%F0%9F%96%A5%EF%B8%8F%E2%9A%99%EF%B8%8F-remote-at-atomic-remote-jobs-4416341809
new	LinkedIn	Chile	Autofin Chile	Jefe de Infraestructura TI y DevOps	Santiago, Santiago Metropolitan Region, Chile	2026-04-29	Jefe de Infraestructura	https://cl.linkedin.com/jobs/view/jefe-de-infraestructura-ti-y-devops-at-autofin-chile-4408546596
new	LinkedIn	Argentina	Avature	Cloud Engineer	Argentina	2026-06-10	Cloud Engineer	https://ar.linkedin.com/jobs/view/cloud-engineer-at-avature-4412932996
new	LinkedIn	Argentina	Avature	Cloud Networking Engineer	Argentina	2026-06-14	Cloud Engineer	https://ar.linkedin.com/jobs/view/cloud-networking-engineer-at-avature-4428651745
new	LinkedIn	Argentina	Avature	Cloud Security Engineer	Argentina	2026-06-14	Security Engineer	https://ar.linkedin.com/jobs/view/cloud-security-engineer-at-avature-4428659673
new	LinkedIn	Argentina	Avature	Platform Engineer, DBA	Argentina	2026-06-02	Infrastructure Engineer	https://ar.linkedin.com/jobs/view/platform-engineer-dba-at-avature-4422481852
new	LinkedIn	Argentina	Avature	Security Specialist, Kubernetes	Argentina	2026-06-10	Security Engineer	https://ar.linkedin.com/jobs/view/security-specialist-kubernetes-at-avature-4412939648
new	LinkedIn	Argentina	Avenga	Middle Advanced CloudOps Engineer	Cordoba, Córdoba, Argentina	2026-06-11	AWS Cloud Engineer	https://ar.linkedin.com/jobs/view/middle-advanced-cloudops-engineer-at-avenga-4416354875
new	LinkedIn	Argentina	Avenga	Senior Project Manager	Cordoba, Córdoba, Argentina	2026-06-12	Project Manager IT	https://ar.linkedin.com/jobs/view/senior-project-manager-at-avenga-4428151602
new	LinkedIn	Argentina	Avenue Code	Senior Site Reliability Engineer (SRE)	Argentina	2026-05-28	Infrastructure Engineer	https://ar.linkedin.com/jobs/view/senior-site-reliability-engineer-sre-at-avenue-code-4416733377
new	LinkedIn	Chile	AVOS Tech | Chile	ingeniero en Redes Cloud	Santiago, Santiago Metropolitan Region, Chile	2026-05-08	Cloud Engineer	https://cl.linkedin.com/jobs/view/ingeniero-en-redes-cloud-at-avos-tech-chile-4411907021
